doc_id,INTRO,BACK,METH,RES,DISC,CONTR,LIM,CONC
124037493.txt,0,0,0,0,0,0,0,0
145607132.txt,0,0,0,0,0,0,0,0
25364406.txt,0,0,0,0,0,0,0,0
45978339.txt,0,0,0,0,0,0,0,0
125024086.txt,0,0,0,0,0,0,0,0
25377781.txt,0,0,0,0,0,0,0,0
127959085.txt,0,0,0,0,0,0,0,0
158664073.txt,0,0,0,0,0,0,0,0
9838726.txt,0,0,0,0,0,0,0,0
149679328.txt,0,0,0,0,0,0,0,0
128600994.txt,0,0,0,0,0,0,0,0
132710802.txt,0,0,0,0,0,0,0,0
74235491.txt,0,0,0,0,0,0,0,0
126655495.txt,0,0,0,0,0,0,0,0
275259297.txt,0,0,0,0,0,0,0,0
86532122.txt,0,0,0,0,0,0,0,0
139626375.txt,0,0,0,0,0,0,0,0
86584055.txt,0,0,0,0,0,0,0,0
81300259.txt,0,0,0,0,0,0,0,0
160932831.txt,0,0,0,0,0,0,0,0
204972.txt,0,0,0,0,0,0,0,0
154852092.txt,0,0,0,0,0,0,0,0
82299896.txt,0,0,0,0,0,0,0,0
148766145.txt,0,0,0,0,0,0,0,0
164475993.txt,0,0,0,0,0,0,0,0
25939393.txt,0,0,0,0,0,0,0,0
170271126.txt,0,0,0,0,0,0,0,0
126576037.txt,0,0,0,0,0,0,0,0
113602580.txt,0,0,0,0,0,0,0,0
151055539.txt,0,0,0,0,0,0,0,0
149167913.txt,0,0,0,0,0,0,0,0
155610845.txt,0,0,0,0,0,0,0,0
158149681.txt,0,0,0,0,0,0,0,0
86755347.txt,0,0,0,0,0,0,0,0
238614843.txt,0,0,0,0,0,0,0,0
157899892.txt,0,0,0,0,0,0,0,0
68237640.txt,0,0,0,0,0,0,0,0
192205755.txt,0,0,0,0,0,0,0,0
157900199.txt,0,0,0,0,0,0,0,0
268496484.txt,0,0,0,0,0,0,0,0
41057178.txt,0,0,0,0,0,0,0,0
136995893.txt,0,0,0,0,0,0,0,0
171126595.txt,0,0,0,0,0,0,0,0
174676931.txt,0,0,0,0,0,0,0,0
70255173.txt,0,0,0,0,0,0,0,0
7684625.txt,0,0,0,0,0,0,0,0
161755291.txt,0,0,0,0,0,0,0,0
70560748.txt,0,0,0,0,0,0,0,0
166768060.txt,0,0,0,0,0,0,0,0
205771.txt,0,0,0,0,0,0,0,0
79649246.txt,0,0,0,0,0,0,0,0
138830424.txt,0,0,0,0,0,0,0,0
67803191.txt,0,0,0,0,0,0,0,0
84108912.txt,0,0,0,0,0,0,0,0
63540479.txt,0,0,0,0,0,0,0,0
17797409.txt,0,0,0,0,0,0,0,0
69132225.txt,0,0,0,0,0,0,0,0
125954931.txt,0,0,0,0,0,0,0,0
96738241.txt,0,0,0,0,0,0,0,0
150561054.txt,0,0,0,0,0,0,0,0
135469696.txt,0,0,0,0,0,0,0,0
47151536.txt,0,0,0,0,0,0,0,0
69561400.txt,0,0,0,0,0,0,0,0
74111576.txt,0,0,0,0,0,0,0,0
129533973.txt,0,0,0,0,0,0,0,0
150417511.txt,0,0,0,0,0,0,0,0
127050046.txt,0,0,0,0,0,0,0,0
79385742.txt,0,0,0,0,0,0,0,0
195413.txt,0,0,0,0,0,0,0,0
25401429.txt,0,0,0,0,0,0,0,0
159430097.txt,0,0,0,0,0,0,0,0
163017656.txt,0,0,0,0,0,0,0,0
148391060.txt,0,0,0,0,0,0,0,0
170623715.txt,0,0,0,0,0,0,0,0
96738748.txt,0,0,0,0,0,0,0,0
153515858.txt,0,0,0,0,0,0,0,0
152360394.txt,0,0,0,0,0,0,0,0
131435442.txt,0,0,0,0,0,0,0,0
18840170.txt,0,0,0,0,0,0,0,0
154783152.txt,0,0,0,0,0,0,0,0
125959439.txt,0,0,0,0,0,0,0,0
10693960.txt,0,0,0,0,0,0,0,0
45214516.txt,0,0,0,0,0,0,0,0
172847635.txt,0,0,0,0,0,0,0,0
70849206.txt,0,0,0,0,0,0,0,0
141163098.txt,0,0,0,0,0,0,0,0
141961478.txt,0,0,0,0,0,0,0,0
192222369.txt,0,0,0,0,0,0,0,0
14224742.txt,0,0,0,0,0,0,0,0
156090571.txt,0,0,0,0,0,0,0,0
136915470.txt,0,0,0,0,0,0,0,0
79386970.txt,0,0,0,0,0,0,0,0
148967016.txt,0,0,0,0,0,0,0,0
107376980.txt,0,0,0,0,0,0,0,0
2944091.txt,0,0,0,0,0,0,0,0
120345869.txt,0,0,0,0,0,0,0,0
166009013.txt,0,0,0,0,0,0,0,0
81760360.txt,0,0,0,0,0,0,0,0
158893519.txt,0,0,0,0,0,0,0,0
162895141.txt,0,0,0,0,0,0,0,0
